Unnamed: 0,powerPlay,AverageScore,battingTeam,bowlingTeam,city,delivery_left,score,CurrentRunRate,wicketsLeft,Run_In_Last5,Wickets_In_Last5,Final_Score,innings
10400,0.0,138.1627906976744,New Zealand,Pakistan,Dubai,63,56,5.894736842105263,8,24.0,2.0,144,1.0
163545,0.0,103.0,Zimbabwe,Sri Lanka,Hambantota,40,76,5.7,5,30.0,2.0,100,2.0
1557,0.0,154.0,West Indies,Australia,St Lucia,53,68,6.089552238805971,5,27.0,3.0,105,1.0
94589,0.0,146.28571428571428,Australia,India,Bengaluru,18,159,9.352941176470589,7,50.0,0.0,194,2.0
119086,0.0,135.609756097561,Sri Lanka,South Africa,Colombo,42,82,6.307692307692308,7,38.0,1.0,135,2.0
29910,0.0,153.14285714285714,South Africa,Sri Lanka,Colombo,65,70,7.636363636363637,10,39.0,0.0,163,1.0
44482,0.0,152.8,England,Pakistan,London,18,157,9.235294117647058,5,42.0,3.0,185,1.0
92737,0.0,119.2,India,West Indies,Lauderhill,45,145,11.6,7,,,244,
155629,1.0,130.42857142857142,Ireland,India,Dublin,91,30,6.206896551724138,9,30.0,1.0,132,2.0
91955,0.0,162.0,Afghanistan,Netherlands,Edinburgh,7,145,7.6991150442477885,6,58.0,1.0,162,1.0
33270,0.0,169.58823529411765,Sri Lanka,Bangladesh,Pallekele,13,166,9.308411214953273,5,57.0,1.0,198,1.0
118502,0.0,135.609756097561,Sri Lanka,Bangladesh,Colombo,41,99,7.518987341772152,4,,,131,2.0
123271,0.0,147.11764705882354,West Indies,Sri Lanka,Pallekele,44,137,10.81578947368421,5,51.0,2.0,185,2.0
28819,0.0,153.14285714285714,India,Sri Lanka,Colombo,51,76,6.608695652173913,9,28.0,1.0,132,1.0
172346,0.0,132.0,West Indies,India,Jamaica,53,106,9.492537313432836,9,32.0,1.0,194,2.0
69787,0.0,142.375,England,South Africa,Cardiff,54,99,9.0,9,52.0,0.0,181,1.0
57473,0.0,163.23076923076923,Australia,India,Sydney,78,52,7.428571428571429,10,36.0,0.0,164,1.0
71680,0.0,181.5,England,New Zealand,Christchurch,15,166,9.485714285714286,6,54.0,0.0,193,1.0
153187,1.0,148.54545454545453,Pakistan,South Africa,Lahore,84,51,8.5,10,46.0,0.0,169,2.0
142110,0.0,130.3448275862069,India,South Africa,Mirpur,8,171,9.160714285714285,6,58.0,2.0,176,2.0
160953,0.0,145.33333333333334,Sri Lanka,England,Delhi,22,133,8.142857142857144,5,58.0,1.0,161,2.0
56633,0.0,159.33333333333334,England,Pakistan,Bristol,53,71,6.358208955223881,6,30.0,1.0,144,1.0
62662,1.0,174.5,Netherlands,Ireland,Al Amarat,85,73,12.514285714285714,10,65.0,0.0,182,1.0
144485,0.0,141.92307692307693,Australia,West Indies,Sydney,81,90,13.846153846153848,10,62.0,,142,2.0
111628,0.0,138.07142857142858,Pakistan,Australia,Harare,52,92,8.117647058823529,7,44.0,,187,2.0
80573,1.0,130.71428571428572,South Africa,Sri Lanka,Hambantota,84,65,10.833333333333334,8,52.0,1.0,78,1.0
174668,0.0,153.0,England,New Zealand,Nelson,28,139,9.065217391304348,7,49.0,1.0,166,2.0
158731,0.0,117.0,New Zealand,India,Thiruvananthapuram,78,48,6.857142857142857,4,,,61,2.0
